答卷编号,IP地址,性别(有偿),年龄(有偿),城市(有偿),图片(微信),来源,昵称(微信),性别(微信),城市(微信),开始时间,结束时间,浏览器,操作系统,答题时长,状态,Q1_角色,Q2_年龄,Q3_在读或已取得学历,Q4_高中的学科偏向,Q5_性别,Q6_对Alpha Go/Master/Zero等目前AI水平的态度？,Q7_再过二十年，AI已经能完成大部分人类的机械劳动时，能完全大部分非设计性工作，你如何看人类工作逐渐被代替的趋势？,Q8_如果再过四十年，AI发展到有了自我意识，有自己独立的思考和判断，能完成一定设计性工作，如编程/绘画/写作，你如何看？,Q9_再过一百年以上，AI真的发展到超越人类能力，能完成许多人类无法完成的工作，如短时间完成小说，完成科学研究等，你如何看？,Q10_如果你能决定一百年后AI发展的发展程度，你觉得什么程度比较合适
1,60.207.237.1,,,,,,,,,2018-12-16 18:08:52,2018-12-16 18:10:33,Unknown Browser,iPhone iOS 12.1,1分41秒,正常完成,学生,,硕士,理科,男,兴奋高兴鼓励,有些担心，在解决人员就业同时缓慢发展，但还是看好,惶恐，很担心人类被AI支配,人类的解放，人类终于能实现自我理想,有思考和学习能力
2,60.207.237.56,,,,,,,,,2018-12-16 18:09:40,2018-12-16 18:10:49,Chrome 57.0.2987.132,Android Linux 8.0,1分9秒,正常完成,学生,,本科,理科,男,无所谓没感觉,有些担心，在解决人员就业同时缓慢发展，但还是看好,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,完成机械工作即可
3,61.148.245.130,,,,,,,,,2018-12-16 18:19:25,2018-12-16 18:20:04,Chrome 57.0.2987.132,Android Linux 8.0,0分39秒,正常完成,学生,,本科,理科,男,无所谓没感觉,有些担心，在解决人员就业同时缓慢发展，但还是看好,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,超越人类
4,171.82.17.140,,,,,,,,,2018-12-16 18:26:38,2018-12-16 18:27:50,Chrome 57.0.2987.132,Android Linux 7.1.1,1分12秒,正常完成,学生,,硕士,理科,女,兴奋高兴鼓励,不太担心，人类将从事更具设计性的工作，避免了人力浪费,惶恐，很担心人类被AI支配,人类的解放，人类终于能实现自我理想,有思考和学习能力
5,117.136.38.173,,,,,,,,,2018-12-16 18:29:08,2018-12-16 18:30:20,Unknown Browser,iPhone iOS 10.3.3,1分12秒,正常完成,学生,,硕士,理科,女,害怕担心反对,大量人将找不到工作，社会会混乱，表示担忧,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,能力与人类差不多
6,60.207.237.23,,,,,,,,,2018-12-16 18:32:26,2018-12-16 18:33:14,Unknown Browser,iPhone iOS 11.2.5,0分48秒,正常完成,学生,,硕士,理科,男,兴奋高兴鼓励,有些担心，在解决人员就业同时缓慢发展，但还是看好,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,有思考和学习能力
7,171.82.17.140,,,,,,,,,2018-12-16 18:33:21,2018-12-16 18:34:04,Chrome 57.0.2987.132,Android Linux 7.1.1,0分43秒,正常完成,学生,,硕士,理科,女,兴奋高兴鼓励,不太担心，人类将从事更具设计性的工作，避免了人力浪费,惶恐，很担心人类被AI支配,人类的解放，人类终于能实现自我理想,有思考和学习能力
8,114.243.84.79,,,,,,,,,2018-12-16 18:31:25,2018-12-16 18:35:16,Chrome 57.0.2987.132,Android Linux 8.1,3分51秒,正常完成,其他,20-29,本科,文科,男,兴奋高兴鼓励,有些担心，在解决人员就业同时缓慢发展，但还是看好,惶恐，很担心人类被AI支配,人类的灭亡，人类被AI支配的时代,有思考和学习能力
9,60.207.237.19,,,,,,,,,2018-12-16 18:34:38,2018-12-16 18:35:22,Chrome 70.0.3538.110,Android Linux 8.0.0,0分44秒,正常完成,学生,,硕士,理科,男,兴奋高兴鼓励,不太担心，人类将从事更具设计性的工作，避免了人力浪费,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,超越人类
10,60.207.237.46,,,,,,,,,2018-12-16 18:35:05,2018-12-16 18:35:43,Chrome 66.0.3359.126,Android Linux 8.1.0,0分38秒,正常完成,学生,,硕士,理科,男,兴奋高兴鼓励,有些担心，在解决人员就业同时缓慢发展，但还是看好,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,能力与人类差不多
11,60.207.237.17,,,,,,,,,2018-12-16 18:33:21,2018-12-16 18:36:03,Chrome 39.0.2171.95,Windows Wechat QBCore/3.43.901.400 QQBrowser/9.0.2524.400,2分42秒,正常完成,学生,,硕士,理科,男,无所谓没感觉,不太担心，人类将从事更具设计性的工作，避免了人力浪费,兴奋，生活将更加有趣与舒适，不太担心,人类的解放，人类终于能实现自我理想,超越人类
